,Year,Sampling_Unit_Name,Longitude,Latitude,Cabassous tatouay,Canis familiaris,Cerdocyon thous,Cuniculus paca,Dasyprocta azarae,Dasypus ,Dasypus novemcinctus,Didelphis ,Didelphis albiventris,Didelphis aurita,Eira barbara,Equus ,Galictis cuja,Herpailurus yagouaroundi,Leopardus ,Leopardus guttulus,Leopardus pardalis,Leopardus wiedii,Lepus europaeus,Mazama ,Mazama gouazoubira,Mazama jucunda,Myrmecophaga tridactyla,Nasua nasua,Panthera onca,Pecari tajacu,Procyon cancrivorus,Puma concolor,Speothos venaticus,Sus scrofa,Tamandua tetradactyla,Tapirus terrestris,Tayassu pecari
34,2022,288,-48.821785,-25.350201,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
35,2022,305,-48.266823,-24.980218,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
36,2022,323,-48.676935,-24.454177,0,4,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37,2022,324,-48.30307,-25.14687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0
38,2022,344,-48.852575,-25.751245,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
39,2022,345,-48.677422,-24.840865,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,1,2,0,0,5,0,0,7,0,0,0,21,0
40,2022,357,-47.307272,-23.951467,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
41,2022,358,-48.094279,-25.110552,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2022,359,-48.967354,-25.709116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
43,2022,366,-48.502577,-24.397612,0,4,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,2022,374,-48.3249,-25.1819,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,2022,401,-48.161996,-25.064593,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
46,2022,402,-48.27621,-24.170758,0,1,0,0,0,0,5,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,2022,413,-48.525301,-25.215778,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,2022,421,-48.573895,-24.324998,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
